sku	analyte	db_val	db_unit	eda_avg	eda_unit	n	db_norm_mg100	eda_norm_mg100	delta_pct	flag
SF-BAK-ATS-SHP-002	epa	471.0	mg	0.4167	g/100g	6	471.0000	416.6996	-11.53	MISMATCH
SF-BAK-ATS-SHP-002	dha	833.0	mg	0.7375	g/100g	6	833.0000	737.5038	-11.46	MISMATCH
SF-BAK-ATS-SHP-002	ala	950.0	mg	0.8405	g/100g	6	950.0000	840.4962	-11.53	MISMATCH
SF-BAK-ATS-SHP-002	ara	80.0	mg	0.0358	g/100g	6	80.0000	35.7665	-55.29	MISMATCH
SF-BAK-ATS-SHP-002	omega6	1450.0	mg	1.4982	g/100g	6	1450.0000	1498.1566	+3.32	OK
SF-BAK-ATS-SHP-002	total_omega3	2254.0	mg	2.3532	g/100g	6	2254.0000	2353.1807	+4.40	OK
SF-BAK-ATS-SHP-002	omega6_3_ratio	0.645	ratio	0.6452	#	6	0.6450	0.6452	+0.03	OK
SF-BAK-ATS-SHP-002	protein	21.3	g	21.5500	g/100g	6	21300.0000	21550.0000	+1.17	OK
SF-BAK-ATS-SHP-002	selenium	18.6	mcg	16.5000	mcg/100g	6	0.0186	0.0165	-11.29	MISMATCH
SF-BAK-ATS-SHP-002	zinc	304.4	mcg	0.3339	mg/100g	6	0.3044	0.3339	+9.68	MISMATCH
SF-BAK-ATS-SHP-002	copper	17.16	mcg	0.0269	mg/100g	6	0.0172	0.0269	+56.76	MISMATCH
SF-BAK-ATS-SHP-002	magnesium	27.12	mg	36.4188	mg/100g	6	27.1200	36.4188	+34.29	MISMATCH
SF-BAK-ATS-SHP-002	phosphorus	265.8	mg	261.6829	mg/100g	6	265.8000	261.6829	-1.55	OK
SF-BAK-ATS-SHP-002	manganese	8.89	mcg	0.0118	mg/100g	6	0.0089	0.0118	+32.55	MISMATCH
SF-BAK-ATS-SHP-002	vitamin_d	8.76	mcg	7.7517	mcg/100g	6	0.0088	0.0078	-11.51	MISMATCH
SF-BAK-ATS-SHP-002	arsenic	92.24	mcg	179.4000	mcg/100g	6	0.0922	0.1794	+94.49	MISMATCH
SF-BGB-KGS-SHP-001	epa	546.0	mg	0.4834	g/100g	2	546.0000	483.4139	-11.46	MISMATCH
SF-BGB-KGS-SHP-001	dha	885.0	mg	0.7834	g/100g	2	885.0000	783.3818	-11.48	MISMATCH
