Test ID,Status,Ordered At,Orderer,Product,Variant,Lot,Assay,Analyte,Unit,LOQ,LOD,Concentration,Notes,Lab_Source,mg_per_100g,Serving_oz,Package_oz,mg_per_serving,mg_per_package,Edacious_URL,Data_Quality_Flag
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Alpha-linolenic Acid (ALA) (C18:3 n3),g/100g,,,2.56104978,,Light Labs,2561.0,6.0,6.0,4356.2,4356.2,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Arachidic Acid (C20:0),g/100g,,,0.075493769,,Light Labs,75.5,6.0,6.0,128.4,128.4,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Arachidonic Acid (ARA) (C20:4),g/100g,,,0.142154261,,Light Labs,142.2,6.0,6.0,241.9,241.9,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Behenic Acid (C22:0),g/100g,,,0.054735024,,Light Labs,54.7,6.0,6.0,93.0,93.0,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Butyric Acid (C4:0),g/100g,,,0,,Light Labs,0.0,6.0,6.0,0.0,0.0,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Caproic Acid (C6:0),g/100g,,,0,,Light Labs,0.0,6.0,6.0,0.0,0.0,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Caprylic Acid (C8:0),g/100g,,,0,,Light Labs,0.0,6.0,6.0,0.0,0.0,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Decanoic Acid (C10:0),g/100g,,,0,,Light Labs,0.0,6.0,6.0,0.0,0.0,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Dihomo-Gamma-Linolenic Acid (DGLA) (C20:3 n6),g/100g,,,0.22017434,,Light Labs,220.2,6.0,6.0,374.6,374.6,,
24241,Completed,10/1/25,Clark Kissiah,Seatopia | Caleta Bay | Steelhead,Caleta Bay | Steelhead,PO-00297,Fatty Acid Profile,Docosadienoic Acid (C22:2),g/100g,,,0.021302155,,Light Labs,21.3,6.0,6.0,36.2,36.2,,
