product_name,farm,category,sku,sku_label,serving_oz,package_oz,servings_per_package,epa_mg_per100g,dha_mg_per100g,ala_mg_per100g,epa_dha_mg_per100g,total_omega3_mg_per100g,omega6_mg_per100g,ara_mg_per100g,omega6_3_ratio,protein_g_per100g,cholesterol_mg_per100g,selenium_mcg_per100g,zinc_mcg_per100g,copper_mcg_per100g,magnesium_mg_per100g,phosphorus_mg_per100g,manganese_mcg_per100g,iodine_mcg_per100g,chromium_mcg_per100g,vitamin_d_mcg_per100g,vitamin_b12_mcg_per100g,vitamin_e_mcg_per100g,mercury_ppb,arsenic_mcg_per100g,cadmium_mcg_per100g,lead_mcg_per100g,mercury_below_loq,epa_dha_mg_per_serving,total_omega3_mg_per_serving,protein_g_per_serving,selenium_mcg_per_serving,zinc_mcg_per_serving,magnesium_mg_per_serving,phosphorus_mg_per_serving,iodine_mcg_per_serving,vitamin_d_mcg_per_serving,vitamin_b12_mcg_per_serving,vitamin_e_mcg_per_serving,epa_dha_mg_per_package,total_omega3_mg_per_package,protein_g_per_package,protein_pct_dv,selenium_pct_dv,zinc_pct_dv,magnesium_pct_dv,phosphorus_pct_dv,iodine_pct_dv,vitamin_d_pct_dv,vitamin_b12_pct_dv,vitamin_e_pct_dv,functional_role,functional_stacks,edacious_url,edacious_status,microplastics_tested,data_source
Salmon Roe Caviar,Yarra Valley,roe,SF-YRV-SLC-BLK-001,Salmon Roe Caviar (1oz jar),0.2,1.0,5.0,513.8,2292.4,142.4,2806.2,2948.6,2850,182.2,0.833,26.1,,99.1,2570.4,150.4,48.04,476.4,385.3,,,2.0,,,0,,,,TRUE,159.11,167.18,1.5,5.62,145.74,2.7,27.0,,0.11,,,795.54,835.91,7.4,3,10,1,1,2,,1,,,Nutrient Apex — DHA Powerhouse,Brain/Cognitive; Hormone/Fertility,https://eat.edacious.com/brand/seatopia/salmon-roe-caviar,verified,TRUE,Light Labs + Edacious
Osetra Caviar,Marshallberg,roe,SF-MAR-OST-BLK-001,Osetra Caviar (1oz tin),0.2,1.0,5.0,497.8,1250.7,161.7,1748.5,1910.2,2790,366.8,1.446,26.1,,63.3,2075.7,126.6,26.97,445.1,137.4,,0.9,0,,,4.94,18.09,0.07,0.09,FALSE,99.14,108.31,1.5,3.59,117.69,1.5,25.2,,0.0,,,495.69,541.53,7.4,3,7,1,0,2,,0,,,Luxury Functional — Ultra-Concentrated DHA + Zinc,Brain/Cognitive,,,FALSE,Light Labs + Edacious
King Salmon,Ora King,salmon,SF-OKS-KGS-SHP-001,Ora King King Salmon,7.5,7.5,1.0,536,1070,1210,1606,2816,2760,80,0.854,18.6,,29.8,284.0,15.82,24.84,236.1,4.56,,,20.0,,,17.33,9.43,,,FALSE,3414.7,5987.41,39.5,63.36,603.84,52.8,502.0,,42.52,,,3414.7,5987.41,39.5,79,115,5,13,40,,213,,,Omega Flagship — Highest DHA Fillet,Brain/Cognitive; Heart,,pending,FALSE,Light Labs + Edacious
King Salmon,Big Glory Bay,salmon,SF-BGB-KGS-SHP-001,Big Glory Bay King Salmon,8.0,8.0,1.0,546,885,1050,1431,2481,2480,90,0.869,18.9,,31.4,268.6,15.41,25.74,221.4,4.22,,,21.6,,,18.74,18.79,,,FALSE,3245.45,5626.81,42.9,71.21,609.17,58.4,502.1,,48.99,,,3245.45,5626.81,42.9,86,129,6,14,40,,245,,,Omega Flagship,Brain/Cognitive; Heart,https://eat.edacious.com/brand/seatopia/big-glory-bay-king-salmon,verified,FALSE,Light Labs + Edacious
King Salmon,Mt Cook,salmon,SF-MCA-KGS-SHP-001,Mt Cook King Salmon,7.0,7.0,1.0,457,862,1140,1319,2459,2380,37,0.853,18.9,,39.3,291.4,18.69,23.26,214.8,4.98,,2.16,23.8,,,33.26,8.28,,,FALSE,2617.51,4879.8,37.5,77.99,578.27,46.2,426.3,,47.23,,,2617.51,4879.8,37.5,75,142,5,11,34,,236,,,Omega Flagship — Highest Selenium Salmon,Brain/Cognitive; Heart,https://eat.edacious.com/brand/seatopia/mt-cook-king-salmon,verified,FALSE,Light Labs + Edacious
Atlantic Salmon,Bakkafrost,salmon,SF-BAK-ATS-SHP-002,Bakkafrost Atlantic Salmon,6.0,6.0,1.0,471,833,950,1304,2254,1450,80,0.645,21.3,,18.6,304.4,17.16,27.12,265.8,8.89,,,8.76,,,37.46,92.24,,,FALSE,2218.06,3833.99,36.2,31.64,517.78,46.1,452.1,,14.9,,,2218.06,3833.99,36.2,72,58,5,11,36,,74,,,Daily Foundation,Heart; Brain/Cognitive,https://eat.edacious.com/brand/seatopia/bakkafrost-atlantic-salmon-fillet,verified,FALSE,Light Labs + Edacious
Steelhead Trout,Hudson Valley,trout,SF-HVF-STT-SHP-001,Hudson Valley Steelhead Trout,6.0,6.0,1.0,376,1040,1620,1416,3036,852,0,0.416,19.5,,17.7,318.4,15.89,24.39,193.9,15.96,,1.7,3.98,,,10.57,31.79,0.04,0.47,FALSE,2408.57,5164.14,33.2,30.11,541.59,41.5,329.8,,6.77,,,2408.57,5164.14,33.2,66,55,5,10,26,,34,,,Underrated Omega — Highest ALA,Brain/Cognitive; Heart,https://eat.edacious.com/brand/seatopia/hudson-valley-steelhead-trout-fillet,verified,FALSE,Light Labs + Edacious
Steelhead Trout,Caleta Bay,trout,SF-CLB-STT-SHP-009,Caleta Bay Steelhead Portion,6.0,6.0,1.0,262,589,1330,851,2181,2460,96.1,1.03,20.8,41,22.1,154.7,20.86,14.41,270.9,5.96,10.7,,9.01,2.18,3700,0,13.0,,,TRUE,1447.53,3709.82,35.4,37.59,263.14,24.5,460.8,18.2,15.33,3.71,6293.59,1447.53,3709.82,35.4,71,68,2,6,37,12,77,155,42,Underrated Omega — Zero Mercury,Brain/Cognitive,https://eat.edacious.com/brand/seatopia/caleta-bay-steelhead-trout-loin,verified,FALSE,Light Labs + Edacious
Steelhead Trout,Caleta Bay,trout,SF-CLB-STT-SHP-002,A&I Steelhead Loin,6.0,12.0,2.0,262,589,1330,851,2181,2460,96.1,1.03,20.8,41,22.1,154.7,20.86,14.41,270.9,5.96,10.7,,9.01,2.18,3700,0,13.0,,,TRUE,1447.53,3709.82,35.4,37.59,263.14,24.5,460.8,18.2,15.33,3.71,6293.59,2895.05,7419.63,70.8,71,68,2,6,37,12,77,155,42,Underrated Omega — Zero Mercury,Brain/Cognitive,https://eat.edacious.com/brand/seatopia/caleta-bay-steelhead-trout-loin,verified,FALSE,Light Labs + Edacious
Steelhead Trout,Caleta Bay,trout,SF-CLB-STT-SHP-001,Cold Smoked Steelhead,4.0,4.0,1.0,262,589,1330,851,2181,2460,96.1,1.03,20.8,41,22.1,154.7,20.86,14.41,270.9,5.96,10.7,,9.01,2.18,3700,0,13.0,,,TRUE,965.02,2473.21,23.6,25.06,175.43,16.3,307.2,12.13,10.22,2.47,4195.73,965.02,2473.21,23.6,47,46,2,4,25,8,51,103,28,Underrated Omega — Zero Mercury,Brain/Cognitive,https://eat.edacious.com/brand/seatopia/caleta-bay-steelhead-trout-loin,verified,FALSE,Light Labs + Edacious
