sku,analyte,display_name,category,sort_order,value_per_100g,unit_per_100g,value_per_serving,value_per_package,unit_scaled,pct_daily_value_per_serving,daily_value_reference,below_loq
SF-YRV-SLC-BLK-001,epa,EPA (C20:5),omega_3,10,513.8,mg,29.13,145.66,mg,,,False
SF-YRV-SLC-BLK-001,dha,DHA (C22:6),omega_3,20,2292.4,mg,129.98,649.88,mg,,,False
SF-YRV-SLC-BLK-001,ala,ALA (C18:3),omega_3,30,142.4,mg,8.07,40.37,mg,,,False
SF-YRV-SLC-BLK-001,epa_dha,EPA + DHA,omega_3,40,2806.2,mg,159.11,795.54,mg,,,False
SF-YRV-SLC-BLK-001,total_omega3,Total Omega-3,omega_3,50,2948.6,mg,167.18,835.91,mg,,,False
SF-YRV-SLC-BLK-001,omega6,Total Omega-6,omega_6,60,2850,mg,161.59,807.96,mg,,,False
SF-YRV-SLC-BLK-001,ara,ARA (C20:4),omega_6,70,182.2,mg,10.33,51.65,mg,,,False
SF-YRV-SLC-BLK-001,omega6_3_ratio,Omega 6:3 Ratio,omega_6,80,0.833,ratio,0.833,0.833,ratio,,,False
SF-YRV-SLC-BLK-001,protein,Protein,macros,90,26.1,g,1.48,7.4,g,3,50,False
SF-YRV-SLC-BLK-001,selenium,Selenium,minerals,110,99.1,mcg,5.62,28.09,mcg,10,55,False
SF-YRV-SLC-BLK-001,zinc,Zinc,minerals,120,2570.4,mcg,145.74,728.7,mcg,1,11000,False
SF-YRV-SLC-BLK-001,copper,Copper,minerals,130,150.4,mcg,8.53,42.64,mcg,1,900,False
SF-YRV-SLC-BLK-001,magnesium,Magnesium,minerals,140,48.04,mg,2.72,13.62,mg,1,420,False
SF-YRV-SLC-BLK-001,phosphorus,Phosphorus,minerals,150,476.4,mg,27.01,135.06,mg,2,1250,False
SF-YRV-SLC-BLK-001,manganese,Manganese,minerals,160,385.3,mcg,21.85,109.23,mcg,1,2300,False
SF-YRV-SLC-BLK-001,vitamin_d,Vitamin D,vitamins,190,2.0,mcg,0.11,0.57,mcg,1,20,False
SF-YRV-SLC-BLK-001,mercury,Mercury,safety,220,0,ppb,0,0,mcg,,,True
SF-MAR-OST-BLK-001,epa,EPA (C20:5),omega_3,10,497.8,mg,28.22,141.12,mg,,,False
SF-MAR-OST-BLK-001,dha,DHA (C22:6),omega_3,20,1250.7,mg,70.91,354.57,mg,,,False
SF-MAR-OST-BLK-001,ala,ALA (C18:3),omega_3,30,161.7,mg,9.17,45.84,mg,,,False
SF-MAR-OST-BLK-001,epa_dha,EPA + DHA,omega_3,40,1748.5,mg,99.14,495.69,mg,,,False
